repayment_id,loan_id,repayment_amount,repayment_date
RP10095,LN11756,17124.3,2022-03-03 22:26:20
RP10096,LN10290,2257.14,2024-10-03 18:00:12
RP10097,LN10667,15546.82,2025-07-08 20:37:09
RP10098,LN10581,5988.66,2024-12-03 04:22:00
RP10099,LN11718,19178.09,2025-05-07 22:10:04
RP10100,LN10241,3761.74,2023-08-16 19:25:40
RP10101,LN10046,3045.18,2023-05-25 16:09:57
RP10102,LN10436,7535.65,2024-12-06 01:47:50
RP10103,LN11179,6718.98,2025-03-10 13:19:12
RP10104,LN10675,19736.0,2025-10-10 13:36:29
RP10105,LN11507,12867.07,2023-06-28 04:02:21
RP10106,LN10688,15809.91,2024-08-12 23:33:58
RP10107,LN10431,3693.01,2023-09-22 11:20:33
RP10108,LN10180,19913.56,2025-06-10 16:25:11
RP10109,LN10234,17438.12,2025-02-20 00:04:48
RP10110,LN10486,19026.25,2024-02-03 05:54:53
RP10111,LN10970,5132.56,2022-07-24 22:03:47
RP10112,LN11303,7148.4,2023-11-27 00:19:16
RP10113,LN11066,17549.62,2023-09-22 09:08:18
RP10114,LN10759,8082.5,2024-06-14 00:52:47
RP10115,LN10102,1257.08,2022-05-14 10:29:54
RP10116,LN11816,18834.3,2024-07-11 00:33:57
RP10117,LN10371,4556.86,2022-10-01 14:09:29
RP10118,LN10819,1271.72,2025-07-14 21:54:03
RP10119,LN11270,6750.58,2022-07-18 08:32:25
RP10120,LN11569,14006.63,2024-07-07 03:43:18
RP10121,LN11256,13039.25,2024-07-28 01:31:48
RP10122,LN11284,4791.28,2023-07-09 11:09:08
RP10123,LN11508,9868.76,2023-02-13 06:45:56
RP10124,LN10300,13922.17,2022-10-02 23:52:44
RP10125,LN10661,11873.51,2024-05-15 07:36:21
RP10126,LN10227,14811.97,2025-09-10 01:12:52
RP10127,LN11021,9340.02,2022-02-19 08:05:27
RP10128,LN11024,8422.25,2024-07-10 11:14:06
RP10129,LN11935,2095.64,2024-03-03 15:23:20
RP10130,LN10548,17961.96,2024-03-14 19:58:22
RP10131,LN11318,17714.76,2025-09-05 01:00:34
RP10132,LN10477,9201.19,2022-12-31 03:08:11
RP10133,LN10115,16708.39,2023-12-23 20:21:44
RP10134,LN10458,12870.39,2024-07-08 22:42:14
RP10135,LN10075,5800.36,2024-02-16 03:38:59
RP10136,LN10478,4369.83,2024-03-19 22:22:50
RP10137,LN10530,1978.18,2025-02-24 23:29:28
RP10138,LN11367,13546.94,2023-06-11 07:38:49
RP10139,LN10408,6370.56,2023-02-20 04:49:58
RP10140,LN10431,18051.82,2023-06-21 10:47:10
RP10141,LN10975,17225.08,2024-11-30 18:42:40
RP10142,LN10097,14669.21,2023-07-23 04:39:09
RP10143,LN11711,12700.1,2022-02-01 04:03:50
RP10144,LN10209,18608.47,2024-07-24 07:34:40
RP10145,LN11052,17051.21,2022-08-31 18:45:20
RP10146,LN10517,5975.81,2022-09-11 14:32:30
RP10147,LN10271,5890.44,2025-05-14 22:52:37
RP10148,LN11525,1413.78,2022-11-08 14:12:11
RP10149,LN11098,10323.53,2022-02-21 16:01:46
RP10150,LN10670,9656.52,2025-06-15 11:58:28
RP10151,LN10894,5749.44,2024-09-17 03:23:33
RP10152,LN11290,19361.16,2023-08-11 16:57:13
RP10153,LN11252,11305.89,2023-01-14 20:10:57
RP10154,LN10944,3883.98,2023-10-14 15:20:59
RP10155,LN10713,17034.39,2022-02-23 00:11:10
RP10156,LN11653,9435.78,2023-04-14 11:27:42
RP10157,LN10577,15348.13,2022-06-04 05:18:01
RP10158,LN11332,7877.4,2025-07-16 10:03:56
RP10159,LN10600,2393.2,2025-04-12 20:04:18
RP10160,LN10361,19834.95,2024-12-07 22:19:15
RP10161,LN11869,16795.0,2023-03-28 08:25:04
RP10162,LN11405,5212.29,2025-09-11 03:49:43
RP10163,LN11258,16874.72,2025-07-04 22:45:45
RP10164,LN11921,16379.63,2025-06-05 02:06:41
RP10165,LN10244,16246.0,2023-04-17 08:53:33
RP10166,LN11777,5715.1,2024-06-18 12:34:36
RP10167,LN11244,3988.48,2024-09-13 08:35:57
RP10168,LN10763,10753.98,2025-10-04 00:04:35
RP10169,LN11102,14403.76,2022-09-16 10:22:29
RP10170,LN10949,10080.31,2025-09-19 13:19:15
RP10171,LN11373,9021.48,2025-05-01 07:49:44
RP10172,LN11768,9794.89,2025-02-22 13:01:14
RP10173,LN10609,19142.74,2022-03-08 18:43:43
RP10174,LN10267,18563.61,2022-02-23 07:51:58
RP10175,LN11244,18843.91,2025-05-18 17:04:56
RP10176,LN11029,6707.98,2025-07-20 09:56:24
RP10177,LN11369,1494.83,2023-04-14 05:58:54
RP10178,LN11014,19547.81,2022-12-23 03:01:03
RP10179,LN10833,2226.67,2025-02-23 18:33:28
RP10180,LN10067,18874.29,2023-07-05 13:01:09
RP10181,LN11169,10499.56,2024-01-19 01:31:44
RP10182,LN10126,11995.58,2022-12-23 20:55:44
RP10183,LN10275,2592.66,2024-05-28 03:49:14
RP10184,LN10574,18484.22,2022-09-07 10:38:41
RP10185,LN10587,3873.37,2024-09-21 04:11:52
RP10186,LN10008,17748.13,2023-06-05 12:35:54
RP10187,LN11263,4674.2,2022-12-14 00:38:21
RP10188,LN10424,4535.55,2024-12-22 23:42:38
RP10189,LN11948,3827.67,2023-10-28 21:48:38
RP10190,LN10594,3992.09,2024-09-27 13:04:29
RP10191,LN11207,13728.24,2024-10-01 14:16:19
RP10192,LN11312,1041.88,2022-11-25 19:56:07
RP10193,LN11797,16188.28,2024-07-05 20:11:44
RP10194,LN11064,14834.63,2022-09-25 04:20:52
RP10195,LN10179,8895.37,2022-09-03 03:18:59
RP10196,LN11911,16795.86,2024-03-13 20:47:37
RP10197,LN11547,14251.21,2023-10-28 13:47:52
RP10198,LN11147,19451.4,2022-10-16 09:34:46
RP10199,LN10287,13504.73,2024-05-01 10:39:39
RP10200,LN10446,12938.79,2024-04-18 15:37:22
RP10201,LN10682,2994.76,2023-05-17 03:35:35
RP10202,LN10912,17945.28,2024-04-10 16:36:21
RP10203,LN11169,12872.43,2023-06-02 02:23:58
RP10204,LN10039,9993.38,2022-12-13 03:51:42
RP10205,LN10280,1180.85,2023-02-17 23:32:44
RP10206,LN11860,10523.34,2024-07-27 01:33:09
RP10207,LN10101,12107.61,2024-12-29 14:43:13
RP10208,LN11506,14519.05,2023-04-10 01:01:16
RP10209,LN11372,4220.26,2025-08-21 19:58:41
RP10210,LN11367,2824.97,2024-03-05 17:29:28
RP10211,LN11251,11857.73,2025-04-12 01:11:40
RP10212,LN11350,16996.47,2023-03-07 15:11:01
RP10213,LN11977,13177.79,2022-05-18 03:53:53
RP10214,LN10426,15546.24,2025-10-13 19:59:56
RP10215,LN10677,7832.55,2022-10-30 20:25:38
RP10216,LN10986,4797.48,2023-05-06 06:06:25
RP10217,LN10517,6025.74,2022-08-17 04:47:09
RP10218,LN11461,4943.71,2024-06-30 02:58:01
RP10219,LN10545,18315.89,2023-11-08 08:00:34
RP10220,LN10669,18638.05,2023-10-14 07:57:51
RP10221,LN10668,11975.13,2023-03-03 23:45:54
RP10222,LN11006,13214.16,2024-10-06 00:34:15
RP10223,LN11432,17765.26,2022-05-10 17:49:55
RP10224,LN10540,7012.28,2023-03-17 01:01:40
RP10225,LN10718,6038.28,2023-08-14 07:27:09
RP10226,LN10566,18011.46,2023-12-22 03:05:07
RP10227,LN10801,4571.92,2023-04-20 14:20:31
RP10228,LN11200,19975.27,2025-09-24 07:44:23
RP10229,LN11690,16147.06,2022-06-17 10:14:57
RP10230,LN10510,17806.48,2022-05-31 22:45:27
RP10231,LN10513,6006.29,2024-04-24 18:16:18
RP10232,LN10116,17162.9,2022-04-28 08:09:04
RP10233,LN10281,7846.63,2025-04-05 22:24:46
RP10234,LN11802,9127.96,2024-11-20 14:03:51
RP10235,LN10613,13284.55,2025-07-21 02:28:27
RP10236,LN10695,19186.4,2023-07-05 06:54:02
RP10237,LN10883,11249.74,2023-08-24 01:59:17
RP10238,LN10301,12517.9,2024-05-10 07:21:45
RP10239,LN11775,18125.67,2023-09-15 04:55:19
RP10240,LN11218,5378.55,2025-07-23 02:51:55
RP10241,LN10799,10128.82,2022-06-24 04:58:50
RP10242,LN11066,17684.5,2023-05-24 07:18:01
RP10243,LN10403,16759.32,2024-10-25 02:39:08
RP10244,LN11321,2130.82,2022-11-16 11:31:19
RP10245,LN11939,2074.37,2023-04-23 11:06:14
RP10246,LN11223,17434.71,2024-10-11 04:17:53
RP10247,LN10434,5910.32,2023-01-26 06:46:15
RP10248,LN11174,7690.2,2024-10-14 06:53:25
RP10249,LN10917,13883.68,2024-12-13 15:00:03
RP10250,LN11629,13595.45,2022-07-11 18:57:44
RP10251,LN11392,14381.11,2025-02-08 04:01:53
RP10252,LN11624,2661.12,2025-02-10 01:09:14
RP10253,LN10148,12398.36,2023-04-17 12:43:56
RP10254,LN10164,10129.47,2023-01-10 03:11:13
RP10255,LN10642,16301.48,2024-07-24 00:12:32
RP10256,LN10087,3923.78,2024-08-11 11:33:01
RP10257,LN11557,14363.57,2023-11-21 13:08:38
RP10258,LN10297,15503.52,2022-07-16 21:41:11
RP10259,LN10403,19761.19,2025-10-19 20:09:51
RP10260,LN10185,12649.66,2024-08-12 16:26:15
RP10261,LN11473,5911.28,2022-12-01 01:44:04
RP10262,LN11539,17090.45,2025-10-17 12:11:15
RP10263,LN11808,16133.26,2023-05-10 08:40:59
RP10264,LN10496,1688.32,2023-08-12 18:35:06
RP10265,LN10493,15389.11,2023-11-17 07:36:14
RP10266,LN11819,14116.76,2023-11-05 00:34:04
RP10267,LN11255,5566.59,2024-04-23 00:47:46
RP10268,LN10765,12205.35,2023-03-01 22:08:06
RP10269,LN10174,10997.57,2022-03-08 04:59:32
RP10270,LN11208,6050.08,2022-11-13 02:00:23
RP10271,LN10239,9820.22,2025-02-26 22:50:16
RP10272,LN11854,4681.88,2024-11-05 08:14:28
RP10273,LN11797,4016.41,2025-03-16 12:59:00
RP10274,LN10985,18848.9,2025-07-12 11:01:35
RP10275,LN11011,11903.95,2024-01-13 05:20:50
RP10276,LN10584,16411.7,2022-05-06 12:49:48
RP10277,LN10827,7431.09,2023-02-24 19:21:49
RP10278,LN10606,7433.96,2022-05-09 08:39:11
RP10279,LN11566,10504.88,2024-12-23 02:48:01
RP10280,LN10505,17257.24,2025-01-05 07:40:45
RP10281,LN11392,19032.23,2024-09-25 18:30:17
RP10282,LN10707,1907.46,2025-09-09 04:38:23
RP10283,LN11627,9879.58,2025-02-10 11:42:48
RP10284,LN10022,17635.79,2024-02-12 16:26:23
RP10285,LN11154,11403.53,2024-05-28 08:37:39
RP10286,LN11498,9562.49,2024-12-11 19:31:46
RP10287,LN10889,3873.24,2022-02-02 07:35:21
RP10288,LN11381,9423.74,2024-02-16 12:10:27
RP10289,LN10745,15053.44,2022-10-21 02:24:10
RP10290,LN10259,13894.39,2025-05-28 00:16:15
RP10291,LN11577,9339.8,2025-09-27 11:36:19
RP10292,LN10339,15573.44,2023-02-09 18:59:04
RP10293,LN11859,12284.43,2024-02-23 05:28:16
RP10294,LN10189,6217.49,2023-09-09 01:24:05
RP10295,LN11150,3633.71,2022-08-12 03:57:23
RP10296,LN11657,13675.84,2022-12-13 11:56:01
RP10297,LN11192,4330.14,2022-11-04 10:07:36
RP10298,LN11489,5018.41,2024-11-24 08:44:39
RP10299,LN11713,6292.85,2024-04-27 13:47:14
RP10300,LN11517,19021.26,2024-03-23 08:14:38
RP10301,LN10467,13919.69,2024-04-10 04:06:22
RP10302,LN10286,18619.22,2025-05-17 20:07:19
RP10303,LN11548,5653.1,2025-02-23 05:03:04
RP10304,LN11265,12701.5,2024-02-05 04:09:22
RP10305,LN10645,13792.58,2025-08-26 19:48:36
RP10306,LN11171,19061.09,2022-03-09 03:48:12
RP10307,LN11321,9870.85,2025-09-11 12:45:28
RP10308,LN11551,13214.01,2023-04-09 15:17:34
RP10309,LN10770,17674.33,2022-04-02 12:20:47
RP10310,LN11955,3692.86,2023-10-31 20:56:20
RP10311,LN10662,18304.27,2022-04-13 13:12:36
RP10312,LN10758,7239.72,2022-01-25 15:31:48
RP10313,LN11698,9155.37,2024-12-15 08:31:48
RP10314,LN11370,10586.85,2022-09-03 16:09:27
RP10315,LN10600,14632.14,2025-09-03 01:06:57
RP10316,LN10793,3992.91,2024-07-26 14:37:10
RP10317,LN10369,14021.97,2025-01-25 04:44:08
RP10318,LN11393,2809.66,2024-04-28 15:42:34
RP10319,LN10354,8276.88,2022-10-06 18:13:27
RP10320,LN11948,12751.94,2025-08-09 02:24:09
RP10321,LN10165,3669.38,2022-04-16 12:23:25
RP10322,LN10605,13687.83,2024-02-03 07:03:11
RP10323,LN10460,19132.28,2023-11-12 02:58:37
RP10324,LN11765,19175.77,2024-01-20 15:55:48
RP10325,LN11030,12132.28,2025-07-22 16:04:34
RP10326,LN10780,10856.81,2024-11-21 19:52:40
RP10327,LN11062,9273.39,2023-11-03 18:13:45
RP10328,LN10384,9663.25,2024-08-05 19:05:56
RP10329,LN10927,11783.88,2023-05-20 11:30:43
RP10330,LN10342,9260.46,2023-11-10 16:51:25
RP10331,LN10528,9101.15,2023-03-06 23:14:12
RP10332,LN11202,6478.23,2025-02-12 16:01:59
RP10333,LN10979,13878.05,2023-01-28 14:46:01
RP10334,LN10415,17588.64,2024-12-13 00:30:41
RP10335,LN11845,1640.9,2024-01-22 14:31:33
RP10336,LN11482,19312.86,2024-10-29 14:38:06
RP10337,LN11363,14763.01,2024-07-30 13:58:50
RP10338,LN10876,1180.46,2022-10-21 16:47:54
RP10339,LN11179,2898.45,2025-07-06 04:48:15
RP10340,LN11374,18734.38,2024-07-07 22:53:06
RP10341,LN10195,13748.35,2023-11-23 17:36:27
RP10342,LN11109,2151.1,2022-02-07 08:50:19
RP10343,LN11667,7413.0,2025-03-17 22:05:13
RP10344,LN11701,17799.52,2023-08-30 02:56:42
RP10345,LN10089,17258.88,2022-12-28 23:34:23
RP10346,LN10770,4622.84,2023-07-31 19:50:27
RP10347,LN10487,9042.17,2023-08-21 11:15:21
RP10348,LN10245,15298.73,2025-02-06 06:57:58
RP10349,LN10824,14043.5,2025-02-09 07:14:59
RP10350,LN10609,2893.5,2023-10-03 10:29:42
RP10351,LN11556,12311.64,2022-03-13 19:20:05
RP10352,LN11806,1480.6,2023-09-30 22:08:26
RP10353,LN10473,7867.31,2024-10-08 06:48:09
RP10354,LN10750,10836.5,2023-02-04 15:47:42
RP10355,LN11306,1816.65,2022-03-17 14:33:49
RP10356,LN10824,17040.72,2023-02-11 08:55:10
RP10357,LN11909,8852.61,2022-06-20 09:17:48
RP10358,LN10613,8706.17,2025-05-22 07:37:52
RP10359,LN11499,3086.16,2023-06-28 10:12:10
RP10360,LN11646,10025.08,2022-12-01 18:25:31
RP10361,LN10733,2648.49,2023-10-27 16:51:23
RP10362,LN10214,3880.83,2023-07-02 03:36:55
RP10363,LN11582,16863.23,2024-09-14 22:20:50
RP10364,LN10492,13969.05,2024-07-16 14:27:11
RP10365,LN10038,12327.91,2022-02-09 04:02:23
RP10366,LN11828,10640.0,2023-04-04 19:48:13
RP10367,LN10807,9984.14,2024-08-17 16:40:09
RP10368,LN11573,19075.71,2025-10-30 08:36:17
RP10369,LN10899,19831.87,2022-02-05 21:34:25
RP10370,LN10544,8317.11,2024-01-08 08:01:32
RP10371,LN11616,1259.93,2024-08-19 04:10:40
RP10372,LN10239,18292.25,2024-10-25 01:15:08
RP10373,LN11002,7084.65,2022-06-17 09:15:35
RP10374,LN10613,18551.19,2023-07-23 12:11:07
RP10375,LN10852,11129.08,2023-04-19 05:16:16
RP10376,LN10274,19325.3,2022-09-02 01:28:45
RP10377,LN11483,10739.42,2023-05-23 03:54:01
RP10378,LN11205,9185.61,2025-02-13 13:11:03
RP10379,LN10351,18523.35,2022-04-10 10:40:43
RP10380,LN11271,14673.18,2025-05-24 20:55:01
RP10381,LN11023,16998.85,2024-02-26 00:32:46
RP10382,LN11444,2437.7,2025-03-09 13:31:05
RP10383,LN11603,12652.73,2025-10-06 02:12:41
RP10384,LN10263,13689.17,2024-07-20 13:31:57
RP10385,LN10643,3528.8,2023-11-13 06:20:46
RP10386,LN10487,6701.12,2022-06-26 20:33:57
RP10387,LN11493,17935.23,2025-10-22 13:11:03
RP10388,LN11737,5359.35,2023-03-29 18:54:11
RP10389,LN10212,15797.87,2024-07-21 10:44:50
RP10390,LN11312,1479.96,2023-11-18 18:45:28
RP10391,LN11073,4445.99,2023-12-27 09:22:37
RP10392,LN11238,1979.48,2024-12-13 13:57:21
RP10393,LN11137,8733.31,2025-01-21 13:46:35
RP10394,LN10079,4857.36,2024-01-17 07:18:53
RP10395,LN11721,5944.37,2024-07-06 17:32:50
RP10396,LN11501,10614.32,2022-08-04 11:39:54
RP10397,LN11938,10848.25,2024-07-09 12:47:12
RP10398,LN11222,5044.68,2024-08-05 16:15:15
RP10399,LN10508,17166.63,2023-08-15 06:38:04
RP10400,LN11842,7375.58,2022-05-02 00:59:28
RP10401,LN10264,8196.45,2023-01-07 18:04:23
RP10402,LN11768,18027.24,2022-05-19 16:51:55
RP10403,LN11564,9177.89,2023-01-07 00:35:34
RP10404,LN10694,5103.63,2024-02-11 11:33:04
RP10405,LN10068,2632.24,2022-05-09 21:31:06
RP10406,LN10977,13655.27,2022-03-22 00:38:53
RP10407,LN10484,4642.93,2025-04-11 19:51:33
RP10408,LN10804,16137.42,2024-06-01 07:10:23
RP10409,LN11025,17975.26,2025-06-22 08:17:18
RP10410,LN11128,10665.25,2022-07-05 05:55:25
RP10411,LN10740,12097.43,2022-04-02 05:34:53
RP10412,LN10986,2421.72,2024-01-06 18:31:43
RP10413,LN10120,13522.5,2023-05-19 13:10:10
RP10414,LN11799,18352.53,2023-08-10 00:30:52
RP10415,LN11048,1014.75,2024-09-13 22:23:21
RP10416,LN10533,5102.55,2022-08-29 07:47:05
RP10417,LN11495,7270.07,2023-02-19 19:35:56
RP10418,LN11771,16546.58,2022-09-25 09:53:46
RP10419,LN10930,3047.39,2023-12-27 16:07:00
RP10420,LN11068,9397.13,2023-06-23 08:25:38
RP10421,LN10493,4526.95,2022-02-26 09:19:38
RP10422,LN11282,18338.42,2022-09-11 18:25:57
RP10423,LN11801,4978.03,2023-03-29 08:41:59
RP10424,LN10111,6919.32,2024-07-11 00:20:39
RP10425,LN11981,11495.56,2025-05-13 09:59:27
RP10426,LN10956,2534.01,2024-04-14 06:38:18
RP10427,LN11742,9126.28,2024-01-19 08:06:54
RP10428,LN10376,6955.83,2022-02-22 03:08:05
RP10429,LN10048,17513.72,2022-08-23 07:10:21
RP10430,LN10788,16111.86,2022-01-05 09:33:46
RP10431,LN10594,18605.72,2024-03-05 10:48:47
RP10432,LN10060,6290.23,2023-05-05 10:51:54
RP10433,LN10468,16478.64,2024-04-02 02:09:33
RP10434,LN11188,16607.36,2024-08-29 03:14:35
RP10435,LN11845,3199.75,2024-11-16 22:38:04
RP10436,LN10007,10505.42,2025-07-23 13:04:43
RP10437,LN10016,19482.14,2025-09-29 14:47:54
RP10438,LN10283,16790.02,2022-07-23 14:17:49
RP10439,LN10439,13482.97,2023-11-19 01:11:48
RP10440,LN10442,10759.13,2024-07-22 01:48:21
RP10441,LN11108,14482.72,2022-12-05 23:19:29
RP10442,LN11067,16213.79,2023-02-20 10:59:37
RP10443,LN10106,10384.34,2023-10-06 11:36:54
RP10444,LN11799,15089.39,2023-05-04 10:39:30
RP10445,LN11162,3943.19,2024-11-10 03:22:13
RP10446,LN10844,8486.34,2025-07-21 21:03:27
RP10447,LN10762,2067.63,2024-10-23 11:06:23
RP10448,LN10270,15560.46,2023-11-09 04:56:23
RP10449,LN10795,5017.86,2023-04-30 20:50:18
RP10450,LN11473,4136.47,2022-05-07 17:05:21
RP10451,LN10980,9317.32,2022-08-30 01:03:26
RP10452,LN10724,11161.84,2022-10-03 23:34:32
RP10453,LN11263,4151.66,2022-05-21 02:57:21
RP10454,LN11649,7893.29,2023-09-23 02:50:40
RP10455,LN11678,12013.68,2023-06-30 18:09:45
RP10456,LN11142,2736.59,2022-11-02 17:17:52
RP10457,LN11691,7027.79,2022-12-29 21:58:45
RP10458,LN10864,5963.78,2023-10-01 16:24:57
RP10459,LN11798,14695.16,2022-11-10 14:48:03
RP10460,LN11529,4149.95,2022-03-17 10:22:46
RP10461,LN10186,10384.61,2024-08-25 09:00:01
RP10462,LN11503,7216.23,2023-06-04 21:04:30
RP10463,LN10043,14724.47,2024-02-04 02:43:14
RP10464,LN10066,19294.71,2024-02-19 00:56:07
RP10465,LN11532,17435.14,2023-05-28 00:50:36
RP10466,LN11154,10819.9,2023-02-02 20:18:25
RP10467,LN11743,17266.01,2025-04-19 09:34:36
RP10468,LN10852,14485.0,2022-06-08 06:15:36
RP10469,LN10328,4637.58,2023-01-16 03:18:14
RP10470,LN10258,14138.34,2024-03-17 09:40:30
RP10471,LN11373,12108.7,2024-03-23 05:15:01
RP10472,LN11587,4875.27,2024-01-02 13:27:38
RP10473,LN10378,19485.99,2022-02-25 07:56:36
RP10474,LN11415,16496.27,2022-11-22 00:58:53
RP10475,LN10623,15607.99,2022-03-10 00:17:04
RP10476,LN11948,19567.5,2025-06-28 17:05:45
RP10477,LN11637,19777.08,2023-05-08 06:15:43
RP10478,LN11333,10055.11,2024-11-30 00:52:05
RP10479,LN10589,10611.29,2022-12-07 17:46:46
RP10480,LN10758,17134.22,2024-09-20 10:51:41
RP10481,LN10406,13034.33,2022-11-06 04:03:56
RP10482,LN10485,2496.09,2022-12-26 09:53:13
RP10483,LN11947,14130.77,2024-05-16 17:04:10
RP10484,LN10312,9986.16,2025-02-10 14:07:01
RP10485,LN10347,2125.84,2025-10-27 01:24:56
RP10486,LN10370,18366.97,2025-01-09 17:33:20
RP10487,LN10363,5434.02,2024-06-16 14:52:22
RP10488,LN11564,19097.53,2022-07-14 01:50:51
RP10489,LN10591,10541.99,2025-03-06 19:27:54
RP10490,LN10121,13249.75,2022-07-14 14:56:50
RP10491,LN11045,6002.27,2025-02-19 09:48:51
RP10492,LN10833,19736.83,2022-05-24 17:27:09
RP10493,LN10744,1890.37,2025-07-18 23:52:38
RP10494,LN10392,17379.04,2025-08-04 08:45:31
RP10495,LN10387,2271.48,2022-01-21 13:51:37
RP10496,LN11976,18236.43,2023-03-31 20:01:04
RP10497,LN10726,18265.33,2024-07-08 05:43:15
