device_id,customer_id,device_type,os,registration_date
DEV_000064,CUST_02539,Desktop,iOS,2020-12-11
DEV_000065,CUST_02855,POS Terminal,Linux,2020-01-04
DEV_000066,CUST_01436,Mobile,Windows,2022-12-19
DEV_000067,CUST_00256,POS Terminal,Windows,2020-01-26
DEV_000068,CUST_02418,Mobile,N/A,2020-01-10
DEV_000069,CUST_01754,Mobile,Linux,2021-10-31
DEV_000070,CUST_04747,Desktop,iOS,2022-02-26
DEV_000071,CUST_03412,POS Terminal,N/A,2021-09-19
DEV_000072,CUST_00076,Mobile,Linux,2020-02-26
DEV_000073,CUST_03612,Mobile,iOS,2022-02-06
DEV_000074,CUST_00505,Desktop,iOS,2020-05-22
DEV_000075,CUST_03393,Mobile,N/A,2020-12-19
DEV_000076,CUST_01993,Mobile,N/A,2021-01-21
DEV_000077,CUST_04758,Mobile,iOS,2022-10-17
DEV_000078,CUST_03379,POS Terminal,Windows,2021-01-07
DEV_000079,CUST_02395,ATM,Linux,2021-03-23
DEV_000080,CUST_01417,Mobile,iOS,2021-12-08
DEV_000081,CUST_02230,Desktop,MacOS,2020-07-17
DEV_000082,CUST_00240,Mobile,iOS,2020-11-12
DEV_000083,CUST_01778,Desktop,iOS,2022-02-05
DEV_000084,CUST_04261,Mobile,N/A,2020-12-28
DEV_000085,CUST_04159,Mobile,iOS,2022-06-21
DEV_000086,CUST_02403,POS Terminal,Android,2020-12-29
DEV_000087,CUST_04147,Mobile,N/A,2022-11-05
DEV_000088,CUST_02632,Mobile,MacOS,2020-10-31
DEV_000089,CUST_03907,ATM,Windows,2022-06-30
DEV_000090,CUST_03011,ATM,N/A,2020-03-03
DEV_000091,CUST_03390,Mobile,Linux,2020-03-20
DEV_000092,CUST_04077,Desktop,Linux,2020-09-03
DEV_000093,CUST_01215,Desktop,N/A,2021-09-30
DEV_000094,CUST_00670,Desktop,Linux,2021-08-19
DEV_000095,CUST_03562,POS Terminal,N/A,2020-08-08
DEV_000096,CUST_00616,POS Terminal,Windows,2021-12-15
DEV_000097,CUST_04659,POS Terminal,iOS,2021-01-04
DEV_000098,CUST_01131,Mobile,MacOS,2022-11-27
DEV_000099,CUST_01522,Mobile,Linux,2020-12-08
DEV_000100,CUST_04452,Desktop,Android,2020-07-23
DEV_000101,CUST_02665,Mobile,Android,2022-10-16
DEV_000102,CUST_04863,Mobile,MacOS,2021-01-30
DEV_000103,CUST_00304,Mobile,Linux,2020-11-13
DEV_000104,CUST_03980,Mobile,iOS,2021-11-21
DEV_000105,CUST_01895,Mobile,Linux,2022-07-20
DEV_000106,CUST_01516,Mobile,iOS,2022-03-07
DEV_000107,CUST_00584,Mobile,Linux,2022-07-06
DEV_000108,CUST_00367,Desktop,Android,2020-08-26
DEV_000109,CUST_02047,Desktop,Windows,2020-05-14
DEV_000110,CUST_00459,Mobile,N/A,2021-11-23
DEV_000111,CUST_00120,POS Terminal,MacOS,2021-05-19
DEV_000112,CUST_03285,Desktop,iOS,2022-01-18
DEV_000113,CUST_03255,POS Terminal,Windows,2020-10-16
DEV_000114,CUST_03566,POS Terminal,iOS,2021-05-05
DEV_000115,CUST_03303,Mobile,MacOS,2022-10-02
DEV_000116,CUST_04460,Mobile,Windows,2021-01-20
DEV_000117,CUST_01969,Mobile,Windows,2022-04-07
DEV_000118,CUST_02532,Mobile,N/A,2020-03-26
DEV_000119,CUST_00852,Mobile,N/A,2022-01-03
DEV_000120,CUST_01930,POS Terminal,MacOS,2020-04-30
DEV_000121,CUST_01944,Mobile,MacOS,2022-09-10
DEV_000122,CUST_00764,ATM,iOS,2020-07-21
DEV_000123,CUST_03297,POS Terminal,Windows,2022-11-30
DEV_000124,CUST_02679,Desktop,MacOS,2020-07-05
DEV_000125,CUST_03812,Mobile,N/A,2021-10-18
DEV_000126,CUST_00902,Desktop,iOS,2022-12-15
DEV_000127,CUST_01519,Mobile,Linux,2022-12-25
DEV_000128,CUST_03257,Mobile,N/A,2022-12-04
DEV_000129,CUST_03987,POS Terminal,MacOS,2022-03-18
DEV_000130,CUST_00742,Mobile,N/A,2021-02-15
DEV_000131,CUST_03554,Desktop,N/A,2021-08-01
DEV_000132,CUST_01694,POS Terminal,Windows,2021-10-18
DEV_000133,CUST_02130,Mobile,Linux,2020-10-04
DEV_000134,CUST_04012,Desktop,MacOS,2022-07-06
DEV_000135,CUST_03253,Desktop,Android,2021-02-09
DEV_000136,CUST_01366,Mobile,Windows,2021-08-22
DEV_000137,CUST_00196,POS Terminal,N/A,2022-05-23
DEV_000138,CUST_00151,POS Terminal,Windows,2022-04-07
DEV_000139,CUST_04524,Desktop,iOS,2022-06-10
DEV_000140,CUST_00331,Desktop,Android,2022-02-11
DEV_000141,CUST_03111,Desktop,MacOS,2020-06-17
DEV_000142,CUST_03325,POS Terminal,Android,2022-10-01
DEV_000143,CUST_00890,Desktop,N/A,2020-02-18
DEV_000144,CUST_00955,Mobile,MacOS,2022-10-03
DEV_000145,CUST_03690,Mobile,iOS,2020-08-01
DEV_000146,CUST_04450,POS Terminal,N/A,2021-10-20
DEV_000147,CUST_02949,Mobile,N/A,2022-09-18
DEV_000148,CUST_03242,Desktop,Linux,2022-03-07
DEV_000149,CUST_02396,POS Terminal,Android,2021-09-18
DEV_000150,CUST_02045,Mobile,Windows,2022-10-16
DEV_000151,CUST_03600,Desktop,MacOS,2021-08-11
DEV_000152,CUST_03991,Mobile,Android,2020-04-22
DEV_000153,CUST_04015,ATM,MacOS,2022-12-16
DEV_000154,CUST_02056,Mobile,Android,2020-03-26
DEV_000155,CUST_02671,Mobile,Windows,2021-01-20
DEV_000156,CUST_01576,Desktop,MacOS,2020-07-01
DEV_000157,CUST_01853,POS Terminal,MacOS,2021-09-20
DEV_000158,CUST_02214,Mobile,Linux,2020-12-21
DEV_000159,CUST_01227,Mobile,iOS,2021-10-04
DEV_000160,CUST_01664,Mobile,Android,2020-04-08
DEV_000161,CUST_00364,Mobile,Windows,2022-12-30
DEV_000162,CUST_01948,POS Terminal,Linux,2020-02-27
DEV_000163,CUST_04754,Mobile,Linux,2020-04-06
DEV_000164,CUST_03633,POS Terminal,iOS,2021-09-12
DEV_000165,CUST_03482,POS Terminal,Windows,2022-02-27
DEV_000166,CUST_01275,POS Terminal,N/A,2021-01-20
DEV_000167,CUST_01446,Desktop,Android,2021-12-21
DEV_000168,CUST_04828,Mobile,MacOS,2020-04-17
DEV_000169,CUST_02958,Mobile,iOS,2022-06-07
DEV_000170,CUST_03457,ATM,MacOS,2022-11-07
DEV_000171,CUST_02166,POS Terminal,Linux,2022-12-09
DEV_000172,CUST_01010,Desktop,MacOS,2020-12-31
DEV_000173,CUST_02820,POS Terminal,Android,2022-11-07
DEV_000174,CUST_01729,POS Terminal,N/A,2022-01-29
DEV_000175,CUST_00696,POS Terminal,Android,2020-04-01
DEV_000176,CUST_04618,Desktop,N/A,2021-03-15
DEV_000177,CUST_02385,POS Terminal,MacOS,2020-07-21
DEV_000178,CUST_01383,POS Terminal,MacOS,2022-07-25
DEV_000179,CUST_02496,Mobile,iOS,2021-01-15
DEV_000180,CUST_03606,ATM,N/A,2021-03-29
DEV_000181,CUST_01848,Mobile,Android,2021-10-17
DEV_000182,CUST_01729,Mobile,MacOS,2020-05-29
DEV_000183,CUST_00653,POS Terminal,Windows,2021-02-20
DEV_000184,CUST_00759,Desktop,iOS,2022-10-11
DEV_000185,CUST_01280,POS Terminal,iOS,2021-02-27
DEV_000186,CUST_00442,Mobile,iOS,2020-02-01
DEV_000187,CUST_04505,Mobile,iOS,2020-04-02
DEV_000188,CUST_04906,Mobile,N/A,2022-02-20
DEV_000189,CUST_03489,Desktop,N/A,2021-02-25
DEV_000190,CUST_03574,POS Terminal,MacOS,2020-08-26
DEV_000191,CUST_04793,Mobile,Linux,2021-08-17
DEV_000192,CUST_04194,Desktop,Windows,2020-01-10
DEV_000193,CUST_03971,Mobile,Linux,2021-05-07
DEV_000194,CUST_04638,POS Terminal,Linux,2021-11-08
DEV_000195,CUST_01527,Mobile,MacOS,2020-12-28
DEV_000196,CUST_00191,POS Terminal,iOS,2022-03-09
DEV_000197,CUST_01874,Mobile,iOS,2021-04-12
DEV_000198,CUST_03016,Mobile,MacOS,2022-01-31
DEV_000199,CUST_00258,POS Terminal,MacOS,2022-04-03
DEV_000200,CUST_00155,Desktop,N/A,2020-04-01
DEV_000201,CUST_02992,Desktop,Android,2020-11-15
DEV_000202,CUST_04094,POS Terminal,iOS,2020-10-17
DEV_000203,CUST_03903,Desktop,Windows,2021-05-19
DEV_000204,CUST_02276,POS Terminal,Android,2021-06-12
DEV_000205,CUST_03583,POS Terminal,Linux,2022-05-15
DEV_000206,CUST_04170,Desktop,N/A,2021-09-26
DEV_000207,CUST_02413,Mobile,N/A,2021-02-23
DEV_000208,CUST_00024,Mobile,iOS,2021-07-12
DEV_000209,CUST_01742,POS Terminal,MacOS,2022-04-18
DEV_000210,CUST_03161,ATM,MacOS,2020-01-21
DEV_000211,CUST_03606,Mobile,MacOS,2022-05-01
DEV_000212,CUST_03372,Mobile,iOS,2022-04-27
DEV_000213,CUST_02092,Mobile,N/A,2022-02-11
DEV_000214,CUST_01061,Desktop,Windows,2021-07-23
DEV_000215,CUST_03352,Mobile,MacOS,2021-01-23
DEV_000216,CUST_00461,POS Terminal,N/A,2022-09-26
DEV_000217,CUST_02118,POS Terminal,iOS,2021-06-03
DEV_000218,CUST_01607,ATM,Linux,2020-01-22
DEV_000219,CUST_00072,Mobile,Android,2022-03-20
DEV_000220,CUST_04924,ATM,iOS,2020-03-26
DEV_000221,CUST_04273,POS Terminal,iOS,2022-07-08
DEV_000222,CUST_00707,Mobile,N/A,2020-09-20
DEV_000223,CUST_01929,Mobile,MacOS,2021-04-01
DEV_000224,CUST_04980,POS Terminal,Android,2020-05-24
DEV_000225,CUST_02799,ATM,Android,2020-08-22
DEV_000226,CUST_01178,Mobile,MacOS,2020-08-24
DEV_000227,CUST_00154,Mobile,Windows,2020-11-21
DEV_000228,CUST_00030,Desktop,iOS,2022-09-27
DEV_000229,CUST_03312,ATM,MacOS,2020-05-16
DEV_000230,CUST_03827,ATM,N/A,2021-01-10
DEV_000231,CUST_04787,Mobile,Windows,2021-11-01
DEV_000232,CUST_01875,Mobile,MacOS,2020-12-08
DEV_000233,CUST_00237,POS Terminal,Linux,2021-06-09
DEV_000234,CUST_02186,POS Terminal,Windows,2022-03-26
DEV_000235,CUST_04726,ATM,N/A,2021-08-06
DEV_000236,CUST_00618,POS Terminal,Windows,2021-08-09
DEV_000237,CUST_01572,Mobile,Android,2021-08-06
DEV_000238,CUST_02438,POS Terminal,iOS,2021-06-19
DEV_000239,CUST_04456,Mobile,MacOS,2020-08-10
DEV_000240,CUST_00582,POS Terminal,N/A,2020-09-01
DEV_000241,CUST_02255,Desktop,N/A,2022-03-19
DEV_000242,CUST_00601,ATM,MacOS,2021-02-17
DEV_000243,CUST_00979,ATM,iOS,2020-06-26
DEV_000244,CUST_00515,Mobile,N/A,2022-10-16
DEV_000245,CUST_00810,Mobile,N/A,2021-02-15
DEV_000246,CUST_02486,Desktop,iOS,2020-09-17
DEV_000247,CUST_01447,POS Terminal,N/A,2022-11-27
DEV_000248,CUST_00469,POS Terminal,N/A,2020-03-14
DEV_000249,CUST_00630,ATM,N/A,2022-08-18
DEV_000250,CUST_03383,Desktop,Android,2022-09-07
DEV_000251,CUST_00114,Mobile,iOS,2020-08-11
DEV_000252,CUST_01226,Mobile,Linux,2020-08-16
DEV_000253,CUST_04343,Mobile,Android,2021-04-13
DEV_000254,CUST_01617,Desktop,Windows,2020-03-18
DEV_000255,CUST_03318,POS Terminal,iOS,2022-03-05
DEV_000256,CUST_04641,Mobile,Windows,2021-01-12
DEV_000257,CUST_02671,POS Terminal,Android,2020-06-20
DEV_000258,CUST_04814,Mobile,N/A,2020-05-18
DEV_000259,CUST_04874,Mobile,Linux,2021-05-10
DEV_000260,CUST_03069,Desktop,Linux,2022-06-11
DEV_000261,CUST_02538,Mobile,iOS,2022-01-29
DEV_000262,CUST_03175,POS Terminal,Linux,2022-06-16
DEV_000263,CUST_02638,Desktop,N/A,2020-10-19
DEV_000264,CUST_02223,Mobile,MacOS,2022-06-24
DEV_000265,CUST_00052,POS Terminal,N/A,2020-03-25
DEV_000266,CUST_02345,ATM,Android,2022-10-28
DEV_000267,CUST_02223,Desktop,N/A,2021-01-22
DEV_000268,CUST_04696,Mobile,Linux,2021-03-06
DEV_000269,CUST_04267,Mobile,Android,2021-10-13
DEV_000270,CUST_03109,Mobile,Android,2020-03-30
DEV_000271,CUST_01659,Mobile,N/A,2020-01-30
DEV_000272,CUST_03558,POS Terminal,N/A,2020-11-08
DEV_000273,CUST_04551,Mobile,MacOS,2021-11-30
DEV_000274,CUST_04823,Desktop,N/A,2021-05-28
DEV_000275,CUST_00887,Desktop,N/A,2020-12-25
DEV_000276,CUST_03054,POS Terminal,iOS,2021-12-18
DEV_000277,CUST_02803,Mobile,Android,2022-08-04
DEV_000278,CUST_02198,Mobile,MacOS,2021-02-14
DEV_000279,CUST_04011,Mobile,Linux,2020-04-25
DEV_000280,CUST_00636,Mobile,Windows,2022-03-12
DEV_000281,CUST_03015,Mobile,iOS,2022-02-17
DEV_000282,CUST_03886,Desktop,N/A,2020-11-09
DEV_000283,CUST_02083,Mobile,Windows,2021-08-20
DEV_000284,CUST_00175,Mobile,MacOS,2022-11-01
DEV_000285,CUST_01057,Mobile,Android,2020-05-10
DEV_000286,CUST_01749,ATM,MacOS,2021-04-06
DEV_000287,CUST_02763,Desktop,iOS,2021-01-11
DEV_000288,CUST_03469,POS Terminal,iOS,2021-02-02
DEV_000289,CUST_02302,Mobile,Linux,2021-11-18
DEV_000290,CUST_00568,POS Terminal,MacOS,2022-06-17
DEV_000291,CUST_04419,Mobile,iOS,2020-02-21
DEV_000292,CUST_01784,Mobile,MacOS,2022-06-21
DEV_000293,CUST_02144,POS Terminal,Linux,2020-05-22
DEV_000294,CUST_04439,POS Terminal,Linux,2021-05-18
DEV_000295,CUST_02241,ATM,MacOS,2022-12-18
DEV_000296,CUST_02559,POS Terminal,N/A,2021-08-12
DEV_000297,CUST_01475,Mobile,iOS,2020-11-25
DEV_000298,CUST_04103,Mobile,Android,2020-10-20
DEV_000299,CUST_00330,Desktop,N/A,2021-10-12
DEV_000300,CUST_04179,Mobile,Android,2020-04-26
DEV_000301,CUST_02674,POS Terminal,N/A,2020-08-16
DEV_000302,CUST_04623,Desktop,Linux,2020-05-13
DEV_000303,CUST_00890,POS Terminal,iOS,2022-04-19
DEV_000304,CUST_00762,Desktop,Linux,2022-11-26
DEV_000305,CUST_01024,Desktop,Linux,2022-12-30
DEV_000306,CUST_01681,Mobile,Linux,2020-02-05
DEV_000307,CUST_03257,Mobile,Linux,2020-12-13
DEV_000308,CUST_01062,POS Terminal,MacOS,2021-10-20
DEV_000309,CUST_00904,ATM,MacOS,2022-01-28
DEV_000310,CUST_00134,Mobile,iOS,2020-03-19
DEV_000311,CUST_01126,POS Terminal,N/A,2020-10-20
DEV_000312,CUST_01965,Desktop,iOS,2020-07-31
DEV_000313,CUST_02040,ATM,Windows,2021-04-23
DEV_000314,CUST_04189,Mobile,Android,2020-01-13
DEV_000315,CUST_02850,Desktop,MacOS,2022-02-19
DEV_000316,CUST_03212,Mobile,iOS,2020-01-08
DEV_000317,CUST_03367,Desktop,N/A,2020-04-29
DEV_000318,CUST_02912,Mobile,Linux,2022-03-04
DEV_000319,CUST_04870,Desktop,MacOS,2020-09-02
DEV_000320,CUST_02592,Desktop,Android,2021-04-04
DEV_000321,CUST_04284,Mobile,MacOS,2020-03-13
DEV_000322,CUST_02184,POS Terminal,N/A,2020-05-31
DEV_000323,CUST_04262,POS Terminal,Android,2020-02-10
DEV_000324,CUST_03549,POS Terminal,Windows,2022-09-02
DEV_000325,CUST_00245,Mobile,iOS,2022-03-01
DEV_000326,CUST_01180,Mobile,N/A,2021-08-01
DEV_000327,CUST_04926,Desktop,Android,2022-03-03
DEV_000328,CUST_01779,Mobile,Windows,2022-07-09
DEV_000329,CUST_02536,Desktop,N/A,2021-05-01
DEV_000330,CUST_00437,Mobile,N/A,2022-10-01
DEV_000331,CUST_02271,Mobile,MacOS,2021-05-27
DEV_000332,CUST_01825,Mobile,iOS,2021-12-07
DEV_000333,CUST_00794,Mobile,Android,2022-07-20
DEV_000334,CUST_04269,ATM,N/A,2022-09-08
DEV_000335,CUST_01281,ATM,N/A,2020-11-09
DEV_000336,CUST_01739,Desktop,Android,2022-07-19
DEV_000337,CUST_00450,Mobile,N/A,2022-01-07
DEV_000338,CUST_01955,POS Terminal,iOS,2021-04-03
DEV_000339,CUST_00615,POS Terminal,N/A,2020-10-22
DEV_000340,CUST_04322,POS Terminal,MacOS,2021-08-10
DEV_000341,CUST_00739,Desktop,MacOS,2020-12-23
DEV_000342,CUST_01632,Mobile,Linux,2022-03-06
DEV_000343,CUST_04172,Mobile,N/A,2021-06-10
DEV_000344,CUST_03666,POS Terminal,MacOS,2020-11-24
DEV_000345,CUST_00069,POS Terminal,iOS,2022-01-23
DEV_000346,CUST_01875,Mobile,Windows,2020-02-12
DEV_000347,CUST_00870,Mobile,iOS,2022-06-03
DEV_000348,CUST_01394,Desktop,Android,2021-09-06
DEV_000349,CUST_03471,POS Terminal,N/A,2020-10-21
DEV_000350,CUST_03192,POS Terminal,Linux,2020-03-28
DEV_000351,CUST_03120,Desktop,Linux,2022-07-30
DEV_000352,CUST_02116,Mobile,Windows,2022-04-20
DEV_000353,CUST_03966,Mobile,N/A,2021-04-09
DEV_000354,CUST_00377,POS Terminal,Android,2022-04-03
DEV_000355,CUST_02324,POS Terminal,MacOS,2020-09-13
DEV_000356,CUST_02816,Mobile,MacOS,2021-12-23
DEV_000357,CUST_01942,Mobile,MacOS,2021-03-02
DEV_000358,CUST_00205,Desktop,iOS,2022-04-11
DEV_000359,CUST_00745,Mobile,MacOS,2022-05-12
DEV_000360,CUST_03137,Desktop,Android,2022-05-05
DEV_000361,CUST_01550,Desktop,Linux,2022-08-01
DEV_000362,CUST_04421,POS Terminal,iOS,2022-07-15
DEV_000363,CUST_02426,POS Terminal,MacOS,2022-06-28
DEV_000364,CUST_02865,Mobile,Android,2022-03-06
DEV_000365,CUST_03974,Desktop,Windows,2022-08-07
DEV_000366,CUST_04777,Mobile,Android,2022-01-14
DEV_000367,CUST_00671,POS Terminal,Linux,2021-11-22
DEV_000368,CUST_03418,POS Terminal,Android,2021-10-29
DEV_000369,CUST_03066,Mobile,Android,2022-03-27
DEV_000370,CUST_01728,Mobile,iOS,2020-09-29
DEV_000371,CUST_04027,Mobile,Linux,2022-12-21
DEV_000372,CUST_02933,Desktop,MacOS,2021-02-25
DEV_000373,CUST_03815,Mobile,Linux,2021-05-18
DEV_000374,CUST_01704,Desktop,Windows,2021-03-20
DEV_000375,CUST_03087,Desktop,N/A,2021-01-26
DEV_000376,CUST_03265,Desktop,Linux,2021-02-02
DEV_000377,CUST_04542,POS Terminal,iOS,2022-01-14
DEV_000378,CUST_00054,Mobile,MacOS,2022-08-06
DEV_000379,CUST_00692,POS Terminal,Linux,2022-04-16
DEV_000380,CUST_04100,Mobile,N/A,2022-02-06
DEV_000381,CUST_00257,Mobile,MacOS,2021-09-20
DEV_000382,CUST_03433,Mobile,iOS,2021-03-13
DEV_000383,CUST_00834,Desktop,Android,2022-03-15
DEV_000384,CUST_02530,Mobile,N/A,2020-10-16
DEV_000385,CUST_02897,Desktop,Windows,2022-08-21
DEV_000386,CUST_01162,Mobile,Linux,2020-08-10
DEV_000387,CUST_03523,POS Terminal,MacOS,2022-07-15
DEV_000388,CUST_00473,Desktop,Linux,2021-09-07
DEV_000389,CUST_02027,Desktop,iOS,2022-04-24
DEV_000390,CUST_01638,POS Terminal,Android,2020-04-14
DEV_000391,CUST_03549,POS Terminal,iOS,2021-02-12
DEV_000392,CUST_02241,Mobile,N/A,2021-03-20
DEV_000393,CUST_02355,Desktop,MacOS,2021-11-22
DEV_000394,CUST_04855,Desktop,Linux,2020-11-16
DEV_000395,CUST_00906,Mobile,MacOS,2022-02-26
DEV_000396,CUST_01184,Mobile,N/A,2022-11-25
DEV_000397,CUST_02220,Mobile,N/A,2022-06-03
DEV_000398,CUST_03645,POS Terminal,iOS,2021-01-04
DEV_000399,CUST_01089,Mobile,Linux,2022-06-26
DEV_000400,CUST_01193,Mobile,MacOS,2020-02-18
DEV_000401,CUST_02129,Mobile,Linux,2021-02-26
DEV_000402,CUST_03452,Desktop,Windows,2022-03-01
DEV_000403,CUST_03842,Desktop,iOS,2020-12-18
DEV_000404,CUST_00332,Desktop,iOS,2021-07-13
DEV_000405,CUST_01212,Mobile,Windows,2020-11-15
DEV_000406,CUST_01049,POS Terminal,Android,2022-04-03
DEV_000407,CUST_04089,Desktop,N/A,2021-02-09
DEV_000408,CUST_02276,Desktop,MacOS,2020-11-04
DEV_000409,CUST_01635,POS Terminal,Android,2022-04-22
DEV_000410,CUST_03606,ATM,Linux,2021-10-10
DEV_000411,CUST_00503,Desktop,MacOS,2022-08-17
DEV_000412,CUST_03570,POS Terminal,MacOS,2021-05-18
DEV_000413,CUST_01080,Desktop,N/A,2020-09-24
DEV_000414,CUST_01335,Mobile,MacOS,2022-09-23
DEV_000415,CUST_04648,Mobile,Windows,2021-10-09
DEV_000416,CUST_04019,Desktop,iOS,2022-12-22
DEV_000417,CUST_04217,Desktop,Windows,2020-03-13
DEV_000418,CUST_02074,Mobile,Windows,2020-07-17
DEV_000419,CUST_04055,POS Terminal,Windows,2020-05-13
DEV_000420,CUST_00023,Mobile,Android,2020-06-24
DEV_000421,CUST_01850,Mobile,Windows,2020-02-13
DEV_000422,CUST_02164,Mobile,iOS,2020-01-18
DEV_000423,CUST_00480,ATM,MacOS,2020-04-18
DEV_000424,CUST_02355,POS Terminal,Android,2021-11-09
DEV_000425,CUST_02749,Desktop,N/A,2020-07-03
DEV_000426,CUST_02540,POS Terminal,Windows,2021-10-03
DEV_000427,CUST_04865,POS Terminal,Windows,2021-12-31
DEV_000428,CUST_01144,POS Terminal,MacOS,2021-02-19
DEV_000429,CUST_02334,Mobile,MacOS,2020-11-04
DEV_000430,CUST_02646,Desktop,N/A,2021-03-12
DEV_000431,CUST_00839,Mobile,Android,2021-09-21
DEV_000432,CUST_01850,ATM,N/A,2020-05-15
DEV_000433,CUST_03387,ATM,N/A,2022-01-13
DEV_000434,CUST_02853,POS Terminal,iOS,2021-10-08
DEV_000435,CUST_02210,Desktop,Android,2022-07-03
DEV_000436,CUST_01393,Desktop,MacOS,2022-08-30
DEV_000437,CUST_03257,Mobile,iOS,2021-11-24
DEV_000438,CUST_01960,Mobile,Windows,2020-12-24
DEV_000439,CUST_00276,Desktop,N/A,2021-08-16
DEV_000440,CUST_04625,Mobile,Windows,2021-09-13
DEV_000441,CUST_01460,ATM,Linux,2020-07-26
DEV_000442,CUST_03332,Mobile,MacOS,2020-11-23
DEV_000443,CUST_00959,POS Terminal,Linux,2020-11-07
DEV_000444,CUST_01842,POS Terminal,Android,2020-11-30
DEV_000445,CUST_04060,Mobile,Android,2022-04-30
DEV_000446,CUST_04146,Mobile,N/A,2020-08-30
DEV_000447,CUST_03378,ATM,iOS,2022-12-26
DEV_000448,CUST_02525,POS Terminal,N/A,2022-04-19
DEV_000449,CUST_00488,Mobile,MacOS,2020-11-20
DEV_000450,CUST_02128,Mobile,iOS,2022-08-19
DEV_000451,CUST_01941,Desktop,iOS,2021-07-29
DEV_000452,CUST_02454,Mobile,Android,2021-05-25
DEV_000453,CUST_04015,Mobile,Android,2020-08-20
DEV_000454,CUST_03798,POS Terminal,N/A,2020-10-27
DEV_000455,CUST_04351,Desktop,MacOS,2022-06-30
DEV_000456,CUST_00960,Desktop,Android,2020-07-17
DEV_000457,CUST_02564,POS Terminal,MacOS,2020-03-21
DEV_000458,CUST_00464,Desktop,Linux,2020-10-04
